GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02,HC04,HC05,HC06,HC08,HC09
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographical Area,Geographical Area,Population,Housing  units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing  units
8500000US902,902,ZCTA3 902,8600000US90247,90247,ZCTA 902 - ZCTA 90247,ZCTA 90247,47741,16653,3.82,0.00,3.82,12500.4,4360.4
8500000US902,902,ZCTA3 902,8600000US90248,90248,ZCTA 902 - ZCTA 90248,ZCTA 90248,9944,3397,4.57,0.03,4.54,2189.3,747.9
8500000US902,902,ZCTA3 902,8600000US90249,90249,ZCTA 902 - ZCTA 90249,ZCTA 90249,26433,9208,3.13,0.00,3.13,8443.2,2941.2
8500000US902,902,ZCTA3 902,8600000US90250,90250,ZCTA 902 - ZCTA 90250,ZCTA 90250,93314,32550,6.86,0.00,6.86,13598.9,4743.6
8500000US902,902,ZCTA3 902,8600000US90254,90254,ZCTA 902 - ZCTA 90254,ZCTA 90254,18682,9891,1.44,0.00,1.44,12991.0,6878.0
8500000US902,902,ZCTA3 902,8600000US90255,90255,ZCTA 902 - ZCTA 90255,ZCTA 90255,78104,19270,3.69,0.00,3.69,21156.2,5219.7
8500000US902,902,ZCTA3 902,8600000US90260,90260,ZCTA 902 - ZCTA 90260,ZCTA 90260,33299,10329,2.78,0.02,2.77,12033.6,3732.7
8500000US902,902,ZCTA3 902,8600000US90261,90261,ZCTA 902 - ZCTA 90261,ZCTA 90261,0,0,0.03,0.00,0.03,0.0,0.0
8500000US902,902,ZCTA3 902,8600000US90262,90262,ZCTA 902 - ZCTA 90262,ZCTA 90262,69830,14977,4.90,0.00,4.90,14256.2,3057.6
8500000US902,902,ZCTA3 902,8600000US90263,90263,ZCTA 902 - ZCTA 90263,ZCTA 90263,2,1,0.11,0.00,0.11,18.7,9.3
8500000US902,902,ZCTA3 902,8600000US90265,90265,ZCTA 902 - ZCTA 90265,ZCTA 90265,19614,8516,107.61,0.09,107.52,182.4,79.2
8500000US902,902,ZCTA3 902,8600000US90266,90266,ZCTA 902 - ZCTA 90266,ZCTA 90266,33742,14984,3.93,0.00,3.93,8593.1,3816.0
8500000US902,902,ZCTA3 902,8600000US90270,90270,ZCTA 902 - ZCTA 90270,ZCTA 90270,28083,6701,1.29,0.00,1.29,21808.2,5203.7
8500000US902,902,ZCTA3 902,8600000US90272,90272,ZCTA 902 - ZCTA 90272,ZCTA 90272,22538,9550,22.89,0.01,22.88,985.1,417.4
8500000US902,902,ZCTA3 902,8600000US90274,90274,ZCTA 902 - ZCTA 90274,ZCTA 90274,24976,9711,12.11,0.02,12.10,2064.7,802.8
8500000US902,902,ZCTA3 902,8600000US90275,90275,ZCTA 902 - ZCTA 90275,ZCTA 90275,41261,15757,13.72,0.00,13.72,3008.0,1148.7
8500000US902,902,ZCTA3 902,8600000US90277,90277,ZCTA 902 - ZCTA 90277,ZCTA 90277,34174,17739,3.63,0.00,3.63,9411.3,4885.2
8500000US902,902,ZCTA3 902,8600000US90278,90278,ZCTA 902 - ZCTA 90278,ZCTA 90278,37316,15850,3.56,0.00,3.56,10468.2,4446.4
8500000US902,902,ZCTA3 902,8600000US90280,90280,ZCTA 902 - ZCTA 90280,ZCTA 90280,96260,24236,7.30,0.00,7.30,13185.0,3319.7
8500000US902,902,ZCTA3 902,8600000US90290,90290,ZCTA 902 - ZCTA 90290,ZCTA 90290,5441,2332,15.45,0.00,15.44,352.3,151.0
8500000US902,902,ZCTA3 902,8600000US90291,90291,ZCTA 902 - ZCTA 90291,ZCTA 90291,31018,16233,5.26,2.81,2.45,12660.8,6625.9
8500000US902,902,ZCTA3 902,8600000US90292,90292,ZCTA 902 - ZCTA 90292,ZCTA 90292,18057,12583,2.15,0.00,2.15,8404.0,5856.3
8500000US902,902,ZCTA3 902,8600000US90293,90293,ZCTA 902 - ZCTA 90293,ZCTA 90293,11252,6373,2.92,0.00,2.92,3852.2,2181.8
8500000US902,902,ZCTA3 902,8600000US902HH,902HH,ZCTA 902 - ZCTA 902HH,ZCTA 902HH,0,0,174.36,174.36,0.00,(X),(X)
8500000US903,903,ZCTA3 903,8500000US903,903,ZCTA 903,ZCTA 903,138492,44824,10.73,0.00,10.73,12901.1,4175.5
8500000US903,903,ZCTA3 903,8600000US90301,90301,ZCTA 903 - ZCTA 90301,ZCTA 90301,37507,12536,2.50,0.00,2.50,15008.9,5016.4
8500000US903,903,ZCTA3 903,8600000US90302,90302,ZCTA 903 - ZCTA 90302,ZCTA 90302,30770,11493,1.90,0.00,1.90,16232.5,6063.0
8500000US903,903,ZCTA3 903,8600000US90303,90303,ZCTA 903 - ZCTA 90303,ZCTA 90303,27773,8216,1.95,0.00,1.95,14242.7,4213.4
8500000US903,903,ZCTA3 903,8600000US90304,90304,ZCTA 903 - ZCTA 90304,ZCTA 90304,28679,6783,1.74,0.00,1.74,16489.7,3900.1
8500000US903,903,ZCTA3 903,8600000US90305,90305,ZCTA 903 - ZCTA 90305,ZCTA 90305,13763,5796,2.65,0.00,2.65,5191.4,2186.2
8500000US904,904,ZCTA3 904,8500000US904,904,ZCTA 904,ZCTA 904,86294,48923,20.23,11.42,8.81,9790.2,5550.4
8500000US904,904,ZCTA3 904,8600000US90401,90401,ZCTA 904 - ZCTA 90401,ZCTA 90401,5201,3766,0.78,0.00,0.78,6686.3,4841.5
8500000US904,904,ZCTA3 904,8600000US90402,90402,ZCTA 904 - ZCTA 90402,ZCTA 90402,11492,5283,1.97,0.00,1.97,5840.3,2684.8
8500000US904,904,ZCTA3 904,8600000US90403,90403,ZCTA 904 - ZCTA 90403,ZCTA 90403,23556,14826,1.42,0.00,1.42,16642.4,10474.6
8500000US904,904,ZCTA3 904,8600000US90404,90404,ZCTA 904 - ZCTA 90404,ZCTA 90404,19956,9740,2.00,0.00,2.00,9956.0,4859.3
8500000US904,904,ZCTA3 904,8600000US90405,90405,ZCTA 904 - ZCTA 90405,ZCTA 90405,26089,15308,3.58,0.93,2.65,9848.9,5778.9
8500000US904,904,ZCTA3 904,8600000US904HH,904HH,ZCTA 904 - ZCTA 904HH,ZCTA 904HH,0,0,10.49,10.49,0.00,(X),(X)
8500000US905,905,ZCTA3 905,8500000US905,905,ZCTA 905,ZCTA 905,166224,63379,23.50,0.00,23.50,7074.5,2697.4
8500000US905,905,ZCTA3 905,8600000US90501,90501,ZCTA 905 - ZCTA 90501,ZCTA 90501,40697,14438,5.63,0.00,5.63,7229.9,2564.9
8500000US905,905,ZCTA3 905,8600000US90502,90502,ZCTA 905 - ZCTA 90502,ZCTA 90502,17038,5780,2.25,0.00,2.25,7586.9,2573.8
8500000US905,905,ZCTA3 905,8600000US90503,90503,ZCTA 905 - ZCTA 90503,ZCTA 90503,41970,17145,5.38,0.00,5.38,7802.0,3187.1
8500000US905,905,ZCTA3 905,8600000US90504,90504,ZCTA 905 - ZCTA 90504,ZCTA 90504,31664,11829,4.52,0.00,4.52,7012.4,2619.7
8500000US905,905,ZCTA3 905,8600000US90505,90505,ZCTA 905 - ZCTA 90505,ZCTA 90505,34855,14187,5.73,0.00,5.73,6086.3,2477.3
8500000US906,906,ZCTA3 906,8500000US906,906,ZCTA 906,ZCTA 906,716121,217475,110.69,1.45,109.24,6555.6,1990.8
8500000US906,906,ZCTA3 906,8600000US90601,90601,ZCTA 906 - ZCTA 90601,ZCTA 90601,32039,11530,9.44,0.00,9.44,3393.3,1221.2
8500000US906,906,ZCTA3 906,8600000US90602,90602,ZCTA 906 - ZCTA 90602,ZCTA 90602,26253,8421,4.20,0.00,4.20,6257.0,2007.0
8500000US906,906,ZCTA3 906,8600000US90603,90603,ZCTA 906 - ZCTA 90603,ZCTA 90603,19101,6828,3.40,0.00,3.40,5610.2,2005.5
