Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
2/28/19,81224,53115,WI,Whitewater-Elkhorn,Walworth County,Delavan,6271,164500,-0.007840772,-0.021997622,-0.000607533,0.031017985,0.00384925,2008-03,2008-Q1,169500,-0.029498525,2006-05
2/28/19,81223,53114,WI,Whitewater-Elkhorn,Walworth County,Darien,13900,169300,0.002368265,0.007738095,0.037377451,0.057521968,0.01184047,2019-02,2019-Q1,169300,0,2019-02
2/28/19,81222,53110,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,Cudahy,5649,192500,0.009438909,0.026666667,0.068257492,0.044421644,0.009001488,2019-02,2019-Q1,192500,0,2019-02
2/28/19,81220,53108,WI,Racine,Racine County,Caledonia,12778,227900,0.007515473,0.019686801,0.068448195,0.059875729,0.012287427,2019-02,2019-Q1,227900,0,2019-02
2/28/19,81219,53105,WI,Racine,Racine County,Rochester,3399,223000,0.00541028,0.017800091,0.102323282,0.071616946,0.020244352,2019-02,2019-Q1,223000,0,2019-02
2/28/19,81218,53104,WI,Chicago-Naperville-Elgin,Kenosha County,Bristol,10519,260100,0.010882239,0.024822695,0.12694974,0.075326521,0.014963617,2019-02,2019-Q1,260100,0,2019-02
2/28/19,81217,53103,WI,Milwaukee-Waukesha-West Allis,Waukesha County,Vernon,12486,267300,-0.002239642,0.004887218,0.02886836,0.04715216,0.013741069,2019-01,2019-Q1,267900,-0.002239642,2018-12
2/28/19,81212,53097,WI,Milwaukee-Waukesha-West Allis,Ozaukee County,Mequon,11200,376000,0.006963042,0.017040844,0.067878444,0.054773163,0.019950728,2019-02,2019-Q1,376000,0,2019-02
2/28/19,81211,53095,WI,Milwaukee-Waukesha-West Allis,Washington County,West Bend,3379,225400,-0.001329198,0.00222321,0.034419458,0.052402654,0.016538646,2019-01,2019-Q1,225700,-0.001329198,2018-12
2/28/19,81210,53094,WI,Watertown-Fort Atkinson,Jefferson County,Watertown,6128,176000,0.015579919,0.067961165,0.142115509,0.037373163,0.0147016,2019-02,2019-Q1,176000,0,2019-02
2/28/19,81208,53092,WI,Milwaukee-Waukesha-West Allis,Ozaukee County,Mequon,5056,363400,0.006648199,0.02049986,0.056088346,0.044292407,0.014074318,2019-02,2019-Q1,363400,0,2019-02
2/28/19,81207,53091,WI,Beaver Dam,Dodge County,Theresa,14298,184300,0.011525796,-0.004859611,0.100298507,0.043861484,0.014493444,2018-10,2018-Q4,185600,-0.00700431,2018-10
2/28/19,81206,53090,WI,Milwaukee-Waukesha-West Allis,Washington County,West Bend,5279,203800,-0.000980392,-0.005368472,0.056505962,0.046204847,0.016109323,2018-11,2018-Q4,204900,-0.005368472,2018-10
2/28/19,81205,53089,WI,Milwaukee-Waukesha-West Allis,Waukesha County,Sussex,6021,308800,0.004554327,0.013788575,0.040431267,0.056051098,0.019607668,2019-02,2019-Q1,308800,0,2019-02
2/28/19,81203,53086,WI,Milwaukee-Waukesha-West Allis,Washington County,Slinger,9228,261400,0.002300613,0.01672501,0.059586542,0.04386852,0.018742855,2019-02,2019-Q1,261400,0,2019-02
2/28/19,81198,53080,WI,Milwaukee-Waukesha-West Allis,Ozaukee County,Saukville,10645,215800,0.000927644,-0.005529954,0.033524904,0.038565752,0.009259009,2018-10,2018-Q4,217500,-0.007816092,2018-08
2/28/19,81196,53078,WI,Beaver Dam,Dodge County,Rubicon,14875,271600,0.038623327,0.049864708,0.267382175,0.083000406,0.032843749,2019-02,2019-Q1,271600,0,2019-02
2/28/19,81195,53076,WI,Milwaukee-Waukesha-West Allis,Washington County,Richfield,12622,361900,-0.001379691,0,0.088748496,0.066981703,0.028064701,2018-12,2018-Q4,362900,-0.00275558,2018-11
2/28/19,81193,53074,WI,Milwaukee-Waukesha-West Allis,Ozaukee County,Port Washington,7280,199100,0.009123163,-0.001003512,0.040773654,0.041462361,0.008137706,2018-10,2018-Q4,200900,-0.008959681,2018-08
2/28/19,81191,53072,WI,Milwaukee-Waukesha-West Allis,Waukesha County,Pewaukee,3513,311500,0.005812076,0.021646441,0.028731836,0.041411426,0.015534493,2019-02,2019-Q1,311500,0,2019-02
2/28/19,81190,53070,WI,Sheboygan,Sheboygan County,Oostburg,11469,184300,0.000542888,-0.006469003,0.023888889,0.029584301,,2018-11,2018-Q4,185500,-0.006469003,2018-10
2/28/19,81188,53066,WI,Milwaukee-Waukesha-West Allis,Waukesha County,Oconomowoc,2044,315200,0.007350591,0.026375773,0.075767918,0.053493205,0.021862239,2019-02,2019-Q1,315200,0,2019-02
2/28/19,81187,53065,WI,Fond du Lac,Fond du Lac County,Oakfield,14426,171600,0.00058309,0.017190279,0.046341463,0.048992509,0.021219303,2019-02,2019-Q1,171600,0,2019-02
2/28/19,81183,53061,WI,Appleton,Calumet County,New Holstein,11095,127000,0.003159558,0.003159558,0.019261637,0.02953301,0.009711823,2019-02,2019-Q1,127000,0,2019-02
2/28/19,81181,53059,WI,Beaver Dam,Dodge County,Neosho,14822,252300,0.044288079,0.053005008,0.247774481,0.090236382,0.033541684,2019-02,2019-Q1,252300,0,2019-02
2/28/19,81180,53058,WI,Milwaukee-Waukesha-West Allis,Waukesha County,Nashotah,12632,411800,0.006353861,0.021582734,0.099012543,0.053786961,0.015555046,2019-02,2019-Q1,411800,0,2019-02
2/28/19,81179,53057,WI,Fond du Lac,Fond du Lac County,Mount Calvary,15230,163600,0.00122399,0.018046049,0.067885117,0.034619936,0.011654866,2019-02,2019-Q1,163600,0,2019-02
2/28/19,81176,53051,WI,Milwaukee-Waukesha-West Allis,Waukesha County,Menomonee Falls,1612,260400,0.005017368,0.020776166,0.07204611,0.0483917,0.019627687,2019-02,2019-Q1,260400,0,2019-02
2/28/19,81175,53050,WI,Beaver Dam,Dodge County,Mayville,9810,138200,-0.001445087,0.016176471,0.024462565,0.022912714,0.003842642,2006-01,2006-Q1,143400,-0.036262204,2005-07
2/28/19,81174,53049,WI,Fond du Lac,Fond du Lac County,Malone,13747,208400,-0.00239349,0.022069642,0.159065628,0.061680513,0.027683664,2019-01,2019-Q1,208900,-0.00239349,2019-01
2/28/19,81170,53045,WI,Milwaukee-Waukesha-West Allis,Waukesha County,Brookfield,4878,334900,0.0044991,0.015771914,0.033961099,0.03921846,0.014884829,2019-02,2019-Q1,334900,0,2019-02
2/28/19,81167,53040,WI,Milwaukee-Waukesha-West Allis,Washington County,Kewaskum,9474,222000,-0.005821764,-0.00090009,0.04815864,0.045757345,0.023026942,2018-12,2018-Q4,223400,-0.006266786,2018-11
2/28/19,81166,53039,WI,Beaver Dam,Dodge County,Juneau,11957,166600,-0.00059988,0.007255139,0.071382637,0.042652673,0.015962177,2019-01,2019-Q1,166700,-0.00059988,2019-01
2/28/19,81165,53038,WI,Watertown-Fort Atkinson,Jefferson County,Johnson Creek,12151,240500,0.005014626,0.016054077,0.113425926,0.056167497,0.024119385,2019-02,2019-Q1,240500,0,2019-02
2/28/19,81164,53037,WI,Milwaukee-Waukesha-West Allis,Washington County,Jackson,8527,251700,0.001990446,0.011655949,0.064720812,0.063281963,0.020984127,2019-02,2019-Q1,251700,0,2019-02
2/28/19,81163,53036,WI,Watertown-Fort Atkinson,Jefferson County,Ixonia,12932,283000,0.007117438,0.034356725,0.116811365,0.05947354,0.02568832,2019-02,2019-Q1,283000,0,2019-02
2/28/19,81162,53035,WI,Beaver Dam,Dodge County,Iron Ridge,14051,198500,0.010692464,0.017948718,0.068353068,0.054277915,0.01859454,2019-02,2019-Q1,198500,0,2019-02
2/28/19,81161,53034,WI,Beaver Dam,Dodge County,Hustisford,14432,164900,-0.001211387,0.010416667,0.068697343,0.046147576,0.014706819,2019-01,2019-Q1,165100,-0.001211387,2019-01
2/28/19,81160,53033,WI,Milwaukee-Waukesha-West Allis,Washington County,Richfield,11142,279400,-0.004985755,-0.006754355,0.033284024,0.040950397,0.014684267,2018-12,2018-Q4,281600,-0.0078125,2018-10
2/28/19,81159,53032,WI,Beaver Dam,Dodge County,Horicon,11234,139800,-0.004982206,-0.002141328,0.048762191,0.037493755,0.011902241,2018-12,2018-Q4,140700,-0.006396588,2018-11
2/28/19,81157,53029,WI,Milwaukee-Waukesha-West Allis,Waukesha County,Merton,5616,366300,0.004662644,0.016088766,0.031540411,0.047894934,0.01452807,2019-02,2019-Q1,366300,0,2019-02
2/28/19,81156,53027,WI,Milwaukee-Waukesha-West Allis,Washington County,Hartford,4771,235100,0.004700855,0.009446114,0.065729828,0.056985394,0.020033793,2019-02,2019-Q1,235100,0,2019-02
2/28/19,81154,53024,WI,Milwaukee-Waukesha-West Allis,Ozaukee County,Grafton,5928,269200,0.00748503,0.027873234,0.075939249,0.068264551,0.024319451,2019-02,2019-Q1,269200,0,2019-02
2/28/19,81152,53022,WI,Milwaukee-Waukesha-West Allis,Washington County,Germantown,5693,269300,0.001115242,0.001860119,0.020849128,0.033856592,0.015899746,2018-10,2018-Q4,269500,-0.000742115,2018-10
2/28/19,81151,53021,WI,Milwaukee-Waukesha-West Allis,Ozaukee County,Fredonia,11716,236500,-0.000422654,-0.006302521,0.069168174,0.054364811,0.016650496,2018-11,2018-Q4,238000,-0.006302521,2018-11
2/28/19,81149,53019,WI,Fond du Lac,Fond du Lac County,Eden,14550,203600,0.003449975,0.016983017,0.09639203,0.056061512,0.025745368,2019-02,2019-Q1,203600,0,2019-02
